input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_25.c	oracle	0	0.62	0.62	80568	MATCH
sa_csmith_25.c	lean	0	1.60	1.60	114628	MATCH
sa_csmith_250.c	oracle	0	0.05	0.04	47736	MATCH
sa_csmith_250.c	lean	0	0.08	0.07	82852	MATCH
sa_csmith_251.c	oracle	124	15.06	15.04	471752	CERB_SKIP
sa_csmith_251.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_252.c	oracle	124	15.05	15.03	447656	CERB_SKIP
sa_csmith_252.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_253.c	oracle	124	15.05	15.04	480256	CERB_SKIP
sa_csmith_253.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_254.c	oracle	0	0.06	0.05	48308	MATCH
sa_csmith_254.c	lean	0	0.09	0.09	83456	MATCH
sa_csmith_255.c	oracle	124	15.05	15.03	614140	CERB_SKIP
sa_csmith_255.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_256.c	oracle	124	15.05	15.04	669580	CERB_SKIP
sa_csmith_256.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_257.c	oracle	124	15.04	15.03	512208	CERB_SKIP
sa_csmith_257.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_258.c	oracle	124	15.05	15.04	650408	CERB_SKIP
sa_csmith_258.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_259.c	oracle	124	15.04	15.04	589740	CERB_SKIP
sa_csmith_259.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_26.c	oracle	124	15.04	15.03	555676	CERB_SKIP
sa_csmith_26.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_260.c	oracle	124	15.05	15.04	641472	CERB_SKIP
sa_csmith_260.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_261.c	oracle	0	0.04	0.04	48844	MATCH
sa_csmith_261.c	lean	0	0.07	0.06	81176	MATCH
sa_csmith_262.c	oracle	0	0.11	0.11	65968	MATCH
sa_csmith_262.c	lean	0	0.25	0.25	110548	MATCH
sa_csmith_263.c	oracle	0	0.04	0.04	48968	MATCH
sa_csmith_263.c	lean	0	0.07	0.07	83704	MATCH
sa_csmith_264.c	oracle	124	15.05	15.04	608628	CERB_SKIP
sa_csmith_264.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_265.c	oracle	124	15.05	15.04	618888	CERB_SKIP
sa_csmith_265.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_266.c	oracle	0	0.05	0.04	48696	MATCH
sa_csmith_266.c	lean	0	0.08	0.08	82816	MATCH
sa_csmith_267.c	oracle	124	15.03	14.73	470904	CERB_SKIP
sa_csmith_267.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_268.c	oracle	0	0.07	0.07	56728	MATCH
sa_csmith_268.c	lean	0	0.13	0.13	95164	MATCH
sa_csmith_269.c	oracle	124	15.02	15.01	278612	CERB_SKIP
sa_csmith_269.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_27.c	oracle	124	15.05	15.03	666628	CERB_SKIP
sa_csmith_27.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_270.c	oracle	0	0.05	0.04	50048	MATCH
sa_csmith_270.c	lean	0	0.08	0.07	86104	MATCH
sa_csmith_271.c	oracle	0	0.08	0.08	63120	MATCH
