input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_469.c	lean	0	0.23	0.22	116732	MATCH
sa_csmith_47.c	oracle	124	15.05	15.04	683092	CERB_SKIP
sa_csmith_47.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_470.c	oracle	0	0.11	0.10	66384	MATCH
sa_csmith_470.c	lean	0	0.24	0.24	107068	MATCH
sa_csmith_48.c	oracle	124	15.04	15.03	621816	CERB_SKIP
sa_csmith_48.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_49.c	oracle	124	15.04	15.04	610772	CERB_SKIP
sa_csmith_49.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_50.c	oracle	124	15.04	15.03	591256	CERB_SKIP
sa_csmith_50.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_51.c	oracle	0	0.04	0.03	48936	MATCH
sa_csmith_51.c	lean	0	0.06	0.05	82304	MATCH
sa_csmith_52.c	oracle	0	0.10	0.10	68272	MATCH
sa_csmith_52.c	lean	0	0.23	0.22	113144	MATCH
sa_csmith_53.c	oracle	124	15.04	15.03	513376	CERB_SKIP
sa_csmith_53.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_54.c	oracle	124	15.05	15.05	668120	CERB_SKIP
sa_csmith_54.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_55.c	oracle	124	15.05	15.04	647232	CERB_SKIP
sa_csmith_55.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_56.c	oracle	0	0.04	0.04	48644	MATCH
sa_csmith_56.c	lean	0	0.06	0.06	83344	MATCH
sa_csmith_57.c	oracle	124	15.05	15.03	703360	CERB_SKIP
sa_csmith_57.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_58.c	oracle	124	15.04	15.03	649300	CERB_SKIP
sa_csmith_58.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_59.c	oracle	124	15.01	15.01	248012	CERB_SKIP
sa_csmith_59.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_60.c	oracle	0	0.04	0.04	48768	MATCH
sa_csmith_60.c	lean	0	0.06	0.05	81776	MATCH
sa_csmith_61.c	oracle	0	0.10	0.10	67520	MATCH
sa_csmith_61.c	lean	0	0.21	0.21	110548	MATCH
sa_csmith_62.c	oracle	124	15.05	15.04	694008	CERB_SKIP
sa_csmith_62.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_63.c	oracle	0	0.17	0.17	68020	MATCH
sa_csmith_63.c	lean	0	0.41	0.41	105040	MATCH
sa_csmith_64.c	oracle	0	0.08	0.07	61924	MATCH
sa_csmith_64.c	lean	0	0.17	0.17	103060	MATCH
sa_csmith_65.c	oracle	124	15.04	15.03	598336	CERB_SKIP
sa_csmith_65.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_66.c	oracle	0	0.10	0.09	64820	MATCH
sa_csmith_66.c	lean	0	0.20	0.20	105112	MATCH
sa_csmith_67.c	oracle	0	0.04	0.04	48860	MATCH
sa_csmith_67.c	lean	0	0.06	0.05	83512	MATCH
sa_csmith_68.c	oracle	0	0.04	0.04	48556	MATCH
sa_csmith_68.c	lean	0	0.07	0.06	83148	MATCH
sa_csmith_69.c	oracle	124	15.05	15.03	630264	CERB_SKIP
sa_csmith_69.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_7.c	oracle	0	0.04	0.03	48576	MATCH
sa_csmith_7.c	lean	0	0.06	0.05	83236	MATCH
sa_csmith_70.c	oracle	124	15.02	15.01	299792	CERB_SKIP
sa_csmith_70.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_71.c	oracle	124	15.05	15.05	647112	CERB_SKIP
sa_csmith_71.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_72.c	oracle	124	15.03	15.02	454244	CERB_SKIP
sa_csmith_72.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_73.c	oracle	124	15.04	15.02	495184	CERB_SKIP
sa_csmith_73.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_74.c	oracle	124	15.03	15.03	429152	CERB_SKIP
sa_csmith_74.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_75.c	oracle	0	1.53	1.52	122284	MATCH
sa_csmith_75.c	lean	0	4.12	4.11	140696	MATCH
sa_csmith_76.c	oracle	0	0.10	0.09	64800	MATCH
sa_csmith_76.c	lean	0	0.18	0.18	106880	MATCH
sa_csmith_77.c	oracle	124	15.05	15.05	604248	CERB_SKIP
sa_csmith_77.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_78.c	oracle	124	15.05	15.05	576936	CERB_SKIP
sa_csmith_78.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_79.c	oracle	0	0.04	0.04	48624	MATCH
sa_csmith_79.c	lean	0	0.07	0.07	82556	MATCH
sa_csmith_8.c	oracle	124	15.04	15.03	479240	CERB_SKIP
sa_csmith_8.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_80.c	oracle	124	15.04	15.03	559160	CERB_SKIP
sa_csmith_80.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_81.c	oracle	0	0.04	0.04	48168	MATCH
sa_csmith_81.c	lean	0	0.06	0.06	82140	MATCH
sa_csmith_82.c	oracle	0	0.16	0.15	55048	MATCH
sa_csmith_82.c	lean	0	0.39	0.38	84220	MATCH
sa_csmith_83.c	oracle	0	0.04	0.03	48400	MATCH
sa_csmith_83.c	lean	0	0.06	0.06	82228	MATCH
sa_csmith_84.c	oracle	0	0.04	0.04	48728	MATCH
sa_csmith_84.c	lean	0	0.07	0.06	81940	MATCH
sa_csmith_85.c	oracle	124	15.02	15.01	333728	CERB_SKIP
sa_csmith_85.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_86.c	oracle	124	15.04	15.03	601588	CERB_SKIP
sa_csmith_86.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_87.c	oracle	0	0.04	0.04	49004	MATCH
sa_csmith_87.c	lean	0	0.07	0.07	82460	MATCH
sa_csmith_88.c	oracle	124	15.04	15.04	569524	CERB_SKIP
sa_csmith_88.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_89.c	oracle	0	0.21	0.20	56696	MATCH
sa_csmith_89.c	lean	0	0.52	0.52	86068	MATCH
sa_csmith_9.c	oracle	124	15.04	15.03	551284	CERB_SKIP
sa_csmith_9.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_90.c	oracle	0	0.09	0.09	65472	MATCH
sa_csmith_90.c	lean	0	0.24	0.24	106700	MATCH
sa_csmith_91.c	oracle	0	0.04	0.04	48476	MATCH
sa_csmith_91.c	lean	0	0.07	0.06	83592	MATCH
sa_csmith_92.c	oracle	0	0.24	0.24	67220	MATCH
sa_csmith_92.c	lean	0	0.59	0.58	101408	MATCH
sa_csmith_93.c	oracle	124	15.03	15.03	502692	CERB_SKIP
sa_csmith_93.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_94.c	oracle	124	15.03	15.03	469904	CERB_SKIP
sa_csmith_94.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_95.c	oracle	0	0.10	0.09	68104	MATCH
sa_csmith_95.c	lean	0	0.24	0.24	109152	MATCH
sa_csmith_96.c	oracle	0	0.05	0.04	48340	MATCH
sa_csmith_96.c	lean	0	0.07	0.06	80908	MATCH
sa_csmith_97.c	oracle	124	15.04	15.03	636768	CERB_SKIP
sa_csmith_97.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_98.c	oracle	124	15.04	15.03	570580	CERB_SKIP
sa_csmith_98.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_99.c	oracle	124	15.03	15.03	539380	CERB_SKIP
sa_csmith_99.c	lean	NA	NA	NA	NA	CERB_SKIP
sia_csmith_001.c	oracle	124	15.03	15.02	486720	CERB_SKIP
sia_csmith_001.c	lean	NA	NA	NA	NA	CERB_SKIP
sia_csmith_002.c	oracle	0	0.05	0.04	49016	MATCH
sia_csmith_002.c	lean	0	0.09	0.08	84156	MATCH
sia_csmith_003.c	oracle	0	0.05	0.04	47860	MATCH
sia_csmith_003.c	lean	0	0.07	0.06	82728	MATCH
sia_csmith_004.c	oracle	0	0.04	0.04	47988	MATCH
sia_csmith_004.c	lean	0	0.07	0.06	82080	MATCH
sia_csmith_005.c	oracle	0	0.04	0.04	47540	MATCH
sia_csmith_005.c	lean	0	0.07	0.07	82156	MATCH
sia_csmith_006.c	oracle	0	0.20	0.20	56448	MATCH
sia_csmith_006.c	lean	0	0.54	0.54	86228	MATCH
sia_csmith_007.c	oracle	0	0.04	0.03	48692	MATCH
sia_csmith_007.c	lean	0	0.07	0.06	81444	MATCH
sia_csmith_008.c	oracle	0	0.05	0.05	51092	MATCH
sia_csmith_008.c	lean	0	0.09	0.09	85128	MATCH
sia_csmith_009.c	oracle	0	0.05	0.04	48544	MATCH
sia_csmith_009.c	lean	0	0.08	0.07	82164	MATCH
sia_csmith_010.c	oracle	0	0.04	0.04	48512	MATCH
